kind	module	api	task_count	source_count	accesses	calls	imports	classification	stage	tasks	sources
api	math	math.ceil	1	1	1	1	0	safe native	2		['etl_checkpoint_resume_bug/environment/app/migration_orchestrator.py']
api	math	math.exp	1	2	3	3	0	safe native	2		['bloom-filter-cache-penetration-prevention/solution/solve.sh::<python-heredoc-1>', 'bloom-filter-cache-penetration-prevention/tests/test_outputs.py']
api	math	math.isinf	1	1	2	2	0	safe native	2		['neutron-submission/solution/solve.sh::<python-heredoc-1>']
api	math	math.isnan	1	1	2	2	0	safe native	2		['neutron-submission/solution/solve.sh::<python-heredoc-1>']
api	math	math.log	2	3	9	9	0	safe native	2		['bloom-filter-cache-penetration-prevention/solution/solve.sh::<python-heredoc-1>', 'bloom-filter-cache-penetration-prevention/tests/test_outputs.py', 'submission_a63937a5_20251224_152124/solution/solve.sh::<python-heredoc-1>']
api	math	math.sin	1	2	2	2	0	safe native	2		['industrial-kiln-controller/environment/setup_data.py', 'industrial-kiln-controller/tests/test_outputs.py']
api	math	math.sqrt	2	3	3	3	0	safe native	2		['container-registry-optimization/solution/solve.sh::<python-heredoc-1>', 'container-registry-optimization/tests/test_outputs.py', 'submission_a63937a5_20251224_152124/solution/solve.sh::<python-heredoc-1>']
api	os	os.X_OK	4	4	8	0	0	VFS wrapper	1		['cosign-keyless-signing/tests/test_outputs.py', 'neutron-submission/tests/test_outputs.py', 'reverse-engineer-stack-vm/tests/test_outputs.py']
api	os	os.access	4	4	8	8	0	VFS wrapper	1		['cosign-keyless-signing/tests/test_outputs.py', 'neutron-submission/tests/test_outputs.py', 'reverse-engineer-stack-vm/tests/test_outputs.py']
api	os	os.chdir	2	2	2	2	0	VFS wrapper	1		['container-registry-optimization/tests/test_outputs.py', 'react-typescript-debugg/tests/test_outputs.py']
api	os	os.environ	2	2	4	0	0	VFS wrapper	1		['bloom-filter-cache-penetration-prevention/tests/test_outputs.py', 'reproducibility-and-envsetup/tests/test_outputs.py']
api	os	os.getenv	3	4	8	8	0	VFS wrapper	1		['auth_token_race_condition/environment/auth_gateway/jwt_utils.py', 'auth_token_race_condition/environment/auth_gateway/redis_client.py', 'bloom-filter-cache-penetration-prevention/solution/solve.sh::<python-heredoc-1>']
api	os	os.getpgid	3	3	58	58	0	unsupported	1		['cpp-daemon-sighup-segfault/tests/test_outputs.py', 'systemd-log-monitoring/tests/test_outputs.py', 'token-auth-websocket/tests/test_outputs.py']
api	os	os.kill	1	1	1	1	0	unsupported	1		['cpp-daemon-sighup-segfault/tests/test_outputs.py']
api	os	os.killpg	3	3	58	58	0	unsupported	1		['cpp-daemon-sighup-segfault/tests/test_outputs.py', 'systemd-log-monitoring/tests/test_outputs.py', 'token-auth-websocket/tests/test_outputs.py']
api	os	os.listdir	4	4	5	5	0	VFS wrapper	1		['db-migration-local-storage/solution/solve.sh::<python-heredoc-1>', 'git-repo-forensics/solution/solve.sh::<python-heredoc-1>', 'monorepo-changelog-cli/solution/solve.sh::<python-heredoc-1>']
api	os	os.makedirs	47	49	90	90	0	VFS wrapper	1		['anomaly-detection-ranking/tests/test_outputs.py', 'bash-log-processor-fix/tests/test_outputs.py', 'basic-message-queue/tests/test_outputs.py']
api	os	os.path.basename	1	1	1	1	0	VFS wrapper	1		['bash-log-processor-fix/tests/grader.py']
api	os	os.path.dirname	1	1	1	1	0	VFS wrapper	1		['bash-log-processor-fix/tests/grader.py']
api	os	os.path.exists	25	26	88	88	0	VFS wrapper	1		['bandit-delayed-feedback/tests/test_outputs.py', 'bloom-filter-cache-penetration-prevention/tests/test_outputs.py', 'bracket-sequence-restoration/tests/grader.py']
api	os	os.path.isdir	3	3	4	4	0	VFS wrapper	1		['california-housing-api/tests/test_outputs.py', 'convolutional-layers/tests/test_outputs.py', 'git-repo-forensics/solution/solve.sh::<python-heredoc-1>']
api	os	os.path.join	4	5	19	19	0	VFS wrapper	1		['db-migration-local-storage/solution/solve.sh::<python-heredoc-1>', 'monorepo-changelog-cli/solution/solve.sh::<python-heredoc-1>', 'multi-labeller/solution/solve.sh::<python-heredoc-1>']
api	os	os.remove	3	3	5	5	0	VFS wrapper	1		['ekf-localization/environment/generate_data.py', 'multi-labeller/tests/test_outputs.py', 'simple-database-query-tool/tests/grader.py']
api	os	os.rmdir	1	1	1	1	0	VFS wrapper	1		['multi-labeller/tests/test_outputs.py']
api	os	os.setsid	3	3	3	0	0	unsupported	1		['cpp-daemon-sighup-segfault/tests/test_outputs.py', 'systemd-log-monitoring/tests/test_outputs.py', 'token-auth-websocket/tests/test_outputs.py']
api	os	os.system	1	1	2	2	0	unsupported	1		['jq-data-processing/tests/test_outputs.py']
api	os	os.unlink	1	1	1	1	0	VFS wrapper	1		['jq-data-processing/tests/test_outputs.py']
api	os	os.walk	1	1	1	1	0	VFS wrapper	1		['build-merkle-tree-cli-sha512/solution/solve.sh::<python-heredoc-1>']
api	pytest	pytest.fail	51	51	134	134	0	pure shim	3		['anomaly-detection-ranking/tests/test_outputs.py', 'bash-log-processor-fix/tests/test_outputs.py', 'basic-message-queue/tests/test_outputs.py']
api	pytest	pytest.fixture	10	12	22	9	0	pure shim	3		['bandit-delayed-feedback/tests/test_outputs.py', 'bloom-filter-cache-penetration-prevention/tests/test_outputs.py', 'db-migration-local-storage/tests/test_queries.py']
api	pytest	pytest.main	2	4	4	4	0	pure shim	3		['auth_token_race_condition/tests/test_outputs.py', 'etl_checkpoint_resume_bug/environment/tests/test_migration.py', 'etl_checkpoint_resume_bug/environment/tests/test_outputs.py']
api	pytest	pytest.mark	1	1	3	0	0	pure shim	3		['auth_token_race_condition/tests/test_outputs.py']
api	pytest	pytest.mark.asyncio	1	1	3	0	0	unsupported	3		['auth_token_race_condition/tests/test_outputs.py']
api	pytest	pytest.raises	1	1	1	1	0	pure shim	3		['convolutional-layers/tests/test_outputs.py']
api	pytest	pytest.skip	3	3	15	15	0	pure shim	3		['bloom-filter-cache-penetration-prevention/tests/test_outputs.py', 'supply-chain-fulfillment/tests/test_outputs.py', 'systemd-log-monitoring/tests/test_outputs.py']
api	re	re.IGNORECASE	5	5	8	0	0	pure shim	2		['protein-sequence/solution/solve.sh::<python-heredoc-1>', 'reverse-engineer-stack-vm/solution/solve.sh::<python-heredoc-2>', 'schedule-vacation/tests/test_outputs.py']
api	re	re.MULTILINE	1	1	1	0	0	pure shim	2		['multi-server-configuration/tests/grader.py']
api	re	re.compile	3	3	6	6	0	pure shim	2		['ekf-localization/tests/test_outputs.py', 'malicious-package-forensics/tests/test_outputs.py', 'protein-sequence/solution/solve.sh::<python-heredoc-1>']
api	re	re.escape	2	3	5	5	0	pure shim	2		['neutron-submission/solution/solve.sh::<python-heredoc-1>', 'neutron-submission/tests/test_outputs.py', 'protein-sequence/solution/solve.sh::<python-heredoc-1>']
api	re	re.findall	5	5	12	12	0	pure shim	2		['cpp-daemon-sighup-segfault/tests/test_outputs.py', 'malicious-package-forensics/solution/solve.sh::<python-heredoc-1>', 'maven-slf4j-conflict/tests/test_outputs.py']
api	re	re.finditer	1	2	3	3	0	pure shim	2		['chained-forensic-extraction_20260101_011957/solution/solve.sh::<python-heredoc-1>', 'chained-forensic-extraction_20260101_011957/tests/test_outputs.py']
api	re	re.fullmatch	1	1	1	1	0	pure shim	2		['schedule-vacation/tests/test_outputs.py']
api	re	re.match	12	13	31	31	0	pure shim	2		['application-debug/tests/test_outputs.py', 'bash-log-processor-fix/tests/grader.py', 'chained-forensic-extraction_20260101_011957/tests/test_outputs.py']
api	re	re.search	15	17	51	51	0	pure shim	2		['application-debug/tests/test_outputs.py', 'book-portfolio-analysis/tests/grader.py', 'cryptographic-protocol-verifier/tests/test_outputs.py']
api	re	re.sub	2	2	2	2	0	pure shim	2		['okhttp-trailers-crash/solution/solve.sh::<python-heredoc-1>', 'reverse-engineer-stack-vm/solution/solve.sh::<python-heredoc-2>']
api	string	string.ascii_lowercase	2	2	6	0	0	pure shim	2		['pandas-numpy-data-analysis/tests/grader.py', 'word-derangement-mapping/tests/grader.py']
api	subprocess	subprocess.CalledProcessError	2	2	3	1	0	VFS wrapper	3		['cosign-keyless-signing/tests/test_outputs.py', 'jq-data-processing/tests/test_outputs.py']
api	subprocess	subprocess.DEVNULL	4	4	6	0	0	VFS wrapper	3		['monorepo-changelog-cli/tests/test_outputs.py', 'reverse-engineer-stack-vm/solution/solve.sh::<python-heredoc-2>', 'submission_a63937a5_20251224_152124/solution/solve.sh::<python-heredoc-1>']
api	subprocess	subprocess.PIPE	8	8	19	0	0	VFS wrapper	3		['basic-message-queue/tests/grader.py', 'bracket-sequence-restoration/tests/grader.py', 'cpp-daemon-sighup-segfault/tests/test_outputs.py']
api	subprocess	subprocess.Popen	7	7	8	8	0	VFS wrapper	3		['basic-message-queue/tests/grader.py', 'cpp-daemon-sighup-segfault/tests/test_outputs.py', 'jq-data-processing/tests/test_outputs.py']
api	subprocess	subprocess.STDOUT	1	1	1	0	0	VFS wrapper	3		['token-auth-websocket/tests/test_outputs.py']
api	subprocess	subprocess.TimeoutExpired	8	8	35	0	0	VFS wrapper	3		['amuse-install/tests/test_outputs.py', 'bracket-sequence-restoration/tests/grader.py', 'cpp-daemon-sighup-segfault/tests/test_outputs.py']
api	subprocess	subprocess.run	29	33	135	135	0	VFS wrapper	3		['acl-permissions-inheritance/tests/test_outputs.py', 'amuse-install/tests/test_outputs.py', 'api-endpoint-permission-canonicalizer/tests/test_outputs.py']
api	sys	sys.argv	7	14	30	0	0	safe native	1		['distributed-test-execution-scheduler/environment/task_file/scripts/model.py', 'distributed-test-execution-scheduler/solution/solve.sh::<python-heredoc-1>', 'etl_checkpoint_resume_bug/environment/scripts/populate_legacy_data.py']
api	sys	sys.executable	5	5	10	0	0	safe native	1		['api-endpoint-permission-canonicalizer/tests/test_outputs.py', 'bracket-sequence-restoration/tests/grader.py', 'broken-python/tests/test_outputs.py']
api	sys	sys.exit	9	14	39	39	0	safe native	1		['distributed-test-execution-scheduler/environment/task_file/scripts/model.py', 'protein-sequence/tests/ref_eval.py', 'rsa-jwt-token-api-redis-blacklist/solution/solve.sh::<python-heredoc-3>']
api	sys	sys.modules	1	1	3	0	0	safe native	1		['bloom-filter-cache-penetration-prevention/tests/test_outputs.py']
api	sys	sys.path	2	2	2	0	0	safe native	1		['bloom-filter-cache-penetration-prevention/tests/test_outputs.py', 'multi-labeller/tests/test_outputs.py']
api	sys	sys.path.append	1	1	1	1	0	safe native	1		['industrial-kiln-controller/tests/test_outputs.py']
api	sys	sys.path.insert	9	15	23	23	0	safe native	1		['bloom-filter-cache-penetration-prevention/tests/test_outputs.py', 'convolutional-layers/tests/test_outputs.py', 'distributed-test-execution-scheduler/tests/test_outputs.py']
api	sys	sys.stderr	5	6	22	0	0	safe native	1		['git-repo-forensics/solution/solve.sh::<python-heredoc-1>', 'protein-sequence/tests/ref_eval.py', 'python-api-rate-limit/environment/src/rate_limiter.py']
api	sys	sys.stdout	1	1	1	0	0	safe native	1		['systemd-log-monitoring/solution/solve.sh::<python-heredoc-1>']
api	typing	typing.Any	46	56	114	0	0	pure shim	1		['anomaly-detection-ranking/tests/grader.py', 'auth_token_race_condition/environment/auth_gateway/jwt_utils.py', 'auth_token_race_condition/environment/auth_gateway/token_service.py']
api	typing	typing.Callable	1	1	2	0	0	pure shim	1		['etl_checkpoint_resume_bug/environment/app/migration_orchestrator.py']
api	typing	typing.Dict	49	56	226	0	0	pure shim	1		['anomaly-detection-ranking/tests/grader.py', 'auth_token_race_condition/environment/auth_gateway/jwt_utils.py', 'auth_token_race_condition/environment/auth_gateway/token_service.py']
api	typing	typing.Iterable	1	1	1	0	0	pure shim	1		['smiles-data-lab/environment/data/smiles_utils.py']
api	typing	typing.List	10	13	62	0	0	pure shim	1		['anomaly-detection-ranking/tests/grader.py', 'breast-cancer-mlflow/solution/solve.sh::<python-heredoc-3>', 'build-merkle-tree-cli-sha512/solution/solve.sh::<python-heredoc-1>']
api	typing	typing.Optional	46	53	205	0	0	pure shim	1		['anomaly-detection-ranking/tests/grader.py', 'auth_token_race_condition/environment/auth_gateway/jwt_utils.py', 'auth_token_race_condition/environment/auth_gateway/main.py']
api	typing	typing.Sequence	1	1	10	0	0	pure shim	1		['multi-labeller/solution/solve.sh::<python-heredoc-1>']
api	typing	typing.Set	1	1	2	0	0	pure shim	1		['smiles-data-lab/environment/data/smiles_utils.py']
api	typing	typing.Tuple	7	7	21	0	0	pure shim	1		['build-merkle-tree-cli-sha512/solution/solve.sh::<python-heredoc-1>', 'etl_checkpoint_resume_bug/environment/app/transformers.py', 'jsonl-aggregator/environment/task-deps/generate_records.py']
api	typing	typing.Union	1	1	1	0	0	pure shim	1		['smiles-data-lab/environment/data/smiles_utils.py']
